parent_asin,title,main_categories,leaf_category
B001JEP1A0,Spring Step Women's Marsi Slide,shoes,slides
B002PSCQ20,J.Renee Women's Regina Pump,shoes,pumps
B00ES81KJ0,ASICS Mens Gel-Nimbus 16,shoes,road running
B005CFUWB0,New Balance Women's W770v2-W,shoes,road running
B07CJ2BK3N,Personalized Simple Southwest Boho Style Large Dome Oval Cabochon Gemstone Bezel Set Blue Turquoise Western Statement Ring For Women .925 Sterling Silver Customizable,jewelry,statement
B00CNZF3KC,Wolverine Men's Merlin-M Composite Safety Toe Boot,shoes,industrial & construction boots
B005FIGIEO,Sperry Top-Sider Carline Boat Shoe (Little Kid/Big Kid),shoes,flats
B082PHQR1Z,Biker Clothing Co. MDM11672.01 Men’s Black and Grey Short Sleeve Mechanic Shirt with Reflective Material,clothing,casual button-down shirts
B00H6SNTRK,Spinningdaisy Dangling Classic Film Camera Earrings (Black with Silver FBA),jewelry,drop & dangle
B071LPVHM7,"Ariat Women's Women's Cruiser Espadrille Sneaker, Cheetah, 8.5 B US",shoes,loafers & slip-ons
B00QIKEJDU,Ellie Shoes Women's 609-Athena Platform Sandal,shoes,platforms & wedges
B01JSHKVVS,ellos Women's Plus Size Convertible Cargo Shorts,clothing,clothing
B00XFCZ1PO,Andre Assous Women's Steph Dress Pump,shoes,pumps
B08FMK8T18,TARSE Women's Open Front Cardigan Sweaters Long Sleeves Cable Knit Outwear Chunky Knitwear Coat with Pockets,clothing,cardigans
B006TA0FGO,ECCO Women's Nephi 70 mm Pump,shoes,pumps
B0016P37YO,BEARPAW Men's 430 Romeo Boot,shoes,boots
B093TF2Q3Q,"SAS Men's, Side Gore Loafer",shoes,loafers & slip-ons
B078WGYDLF,adidas Women's Aerobounce W Running Shoe,shoes,road running
B0822DLD4M,Hello Forty Shirt Women 40th Birthday Tee Shirt 40 Years Old Birthday T-Shirt Short Sleeve Casual Top,clothing,t-shirts
B01JA808AO,Soffe Girls' Big Core Tank,clothing,tanks & camis
B075X3KLKD,Ripple Junction Cobra Kai Adult Men's Karate Kid T-Shirt Strike First Logo Officially Licensed,clothing,t-shirts
B0028N71MW,"Amazon Collection Sterling Silver Two-Tone Butterfly Pendant Necklace with Diamond Accent, 18""",jewelry,pendant necklaces
B005G1S654,Eastland Men's Buck,shoes,oxfords
B00DS03EF2,"Amazon Collection 14k Gold Tri-Color Hearts Station Y-Shaped Necklace, 16.5""+1"" Extender",jewelry,y-necklaces
B008J9YC26,Crocs Boys' Santa Cruz Loafer C,shoes,running
B004L63QIM,Pendleton Men's Long Sleeve Snap Front Classic-Fit Frontier Shirt,clothing,casual button-down shirts
B002JCSQXU,Crocs Women's Hanalei Coral Wedge,shoes,platforms & wedges
B00C1YJJCI,Propet Women's Travel Sport Sneaker,shoes,walking
B00F1JPB4K,Pearl Izumi - Ride Elite Tall Socks,clothing,athletic socks
B0002THV7O,Hue Flat Knit Knee Sock (5573),clothing,calf socks
B07SQS72KH,adidas Women's W Codechaos Golf Shoe,shoes,golf
B00I4Q5NYU,Geox Women's Illusion24 Fashion Sneaker,shoes,fashion sneakers
B00733Z124,Darn Tough Vermont Women's Spirals Crew Light,clothing,socks
B003T9VSL4,Fashion Forms Women's Bandeau Bra,clothing,everyday bras
B0070CQJJM,Crocs Women's Work Chelea Clog,shoes,mules & clogs
B003V5X2RY,adidas Women's Marathon 10 Running Shoe,shoes,road running
B00E922ICI,Walking Cradles Women's Bean Dress Pump,shoes,pumps
B01M1IFLJM,"CowCow Womens Stretchy Tights Halloween Costume Spider Web Pattern Fashion Leggings, XS-5XL",clothing,leggings
B000E78Y5W,Bass Women's Brenda Clog,shoes,mules & clogs
B002VWJYES,Carhartt Men's Sherpa Lined Sandstone Mock Neck Vest V33,clothing,outerwear
B07B82S5Y2,"Avia Avi-Union II Non Slip Shoes for Men - Lace Up Comfort Men's Restaurant, Work & Safety Footwear - Medium or Extra Wide",shoes,health care & food service
B004LVNM36,TITLE MMA Quad-Flex Adversary Long Sleeve Rash Guard,clothing,rash guard shirts
B00JSQTX14,DC Men's Sceptor RV-M,shoes,skateboarding
B08N9KK1Q5,MEVECCO Gold Dainty Initial Necklace 18K Gold Plated Butterfly Pendant Name Necklaces Delicate Everyday Necklace for Women Minimalist Personalized Jewelry Christmas Gift,jewelry,pendant necklaces
B074Z8LRC2,LOYALLOOK 6-8 Pairs 16G Stainless Steel Flower Feather Cartilage Cubic Zirconia Inlaid Helix Hoop Stud Earrings Tragus Piercing Jewelry for Men Women,jewelry,earrings
B000GW7P3W,Florsheim Men's Carleton Wingtip Oxford,shoes,oxfords
B005CFVTLW,Crocs Women's Chameleons Adrina Flat,shoes,flats
B005GORHVA,Dockers Men's Iron Free Khaki D2 Straight Fit Pant,clothing,dress
B074WZNGV4,Stuart Weitzman Women's MIRA Mule,shoes,pumps
B016QM526M,Carhartt Women's Original Fit Crawford Short,clothing,work & utility
B005N796Q4,Eastland Women's Double Up Chelsea Boot,shoes,flats
B00O1T4K8O,SockGuy Men's Wool Socks,clothing,athletic socks
B003UES3L6,Me Too Olympia Ballet Flat w/Silver Chain,shoes,flats
B07CHW59W5,Amazon Essentials Men's Performance Stretch Knit Training Pant,clothing,track pants
B0055B35UG,L'ovedbaby Unisex-Baby Newborn Wrap Shirt,clothing,tops
B08S32HN53,Qearal Women Ruched Bodycon Dress Casual Long Sleeve Mini T-Shirt Dress,clothing,dresses
B07SSZMN44,16G Stainless Steel Lip Rings Labret Monroe Nose Tragus Helix Stud Ear Piercing Internally Threaded 2mm Diamond CZ 6mm 8mm 10mm Bar Length 3 Pairs Set,jewelry,studs
B004DEQHGU,ASICS Mens Gel-Kahana 5,shoes,road running
B009C2YGXY,Nautilus Safety Footwear N1925 Men's Comp Toe EH Athletic Work Shoes,shoes,shoes
B0027A842C,Harley-Davidson Men's Laramie Boot,shoes,boots
B00HD6MM6Y,Star Vixen Women's Color-Block Short-Sleeve Dress,clothing,casual
B07BVXM3SS,"CloudLine Quarter Crew Ankle Socks - Light Cushion Merino Wool,",clothing,athletic socks
B004UEK45I,Steve Madden Women's Tobago Wedge Sandal,shoes,platforms & wedges
B018MUKEIM,Rothco Rip-Stop Boonie Hat,clothing,accessories
B074HFJJJZ,Sawdust is Man Glitter T-Shirt for Woodworkers & Carpenters,clothing,t-shirts
B0031R9352,"Merrell Women's Agave,Navy,7 M US",shoes,sport sandals & slides
B01EGQO3PQ,Liquid Blue Men's Wonderland Jamband T-Shirt,clothing,t-shirts
